PkgName,PkgVer,PythonVer,Time(pip),Time(HELP_solve),Time(HELP_install)
allensdk,2.15.1,3.8.2,84.520 ,11.468 ,92.303 
google_cloud_bigquery,3.11.3,3.8.2,12.462 ,4.317 ,10.054 
dvc_gs,2.22.1,3.9.2,51.243 ,13.817 ,49.553 
pypulseq,1.4.0,3.9.2,26.847 ,0.774 ,19.194 
pytorch_transformers,1.2.0,3.9.2,181.503 ,3.701 ,68.230 
nbgrader,0.8.4,3.8.2,60.393 ,21.358 ,47.163 
performer_pytorch,1.1.4,3.6.5,67.286 ,0.455 ,68.251 
quilt3,5.3.1,3.9.2,13.163 ,2.209 ,12.432 
indra,1.22.0,3.9.2,71.154 ,8.319 ,58.112 
alpaca_trade_api,3.0.2,3.7.2,25.855 ,2.339 ,19.968 
androguard,3.3.5,3.8.2,26.843 ,2.423 ,13.498 
requests_html,0.10.0,3.9.2,9.964 ,1.613 ,9.651 
squidpy,1.3.0,3.9.2,122.161 ,22.597 ,92.438 
stac_pydantic,2.0.3,3.9.2,5.580 ,0.295 ,3.061 
rpaframework_google,7.0.3,3.10.4,30.105 ,7.258 ,30.419 
nornir_netmiko,1.0.0,3.8.2,9.053 ,0.970 ,7.482 
apache_airflow_backport_providers_openfaas,2021.3.3,3.6.5,75.566 ,10.152 ,51.460 
nwbwidgets,0.10.2,3.10.4,125.846 ,47.544 ,102.219 
mlflow_devlibx,1.22.8,3.9.2,43.669 ,5.093 ,39.271 
jupyterlab_lsp,4.2.0,3.9.2,46.152 ,17.520 ,39.472 
opencensus_ext_azure,1.1.9,3.8.2,12.498 ,3.593 ,9.423 
eo_learn_mask,1.4.2,3.8.2,119.242 ,14.490 ,122.343 
awslimitchecker,12.0.0,3.10.4,10.395 ,2.044 ,8.543 
nwbwidgets,0.10.2,3.8.2,112.515 ,47.896 ,92.376 
jsontableschema,0.10.1,3.10.4,22.005 ,3.170 ,20.112 
invenio_accounts,3.0.3,3.8.2,45.846 ,5.315 ,35.874 
clip_retrieval,2.37.0,3.9.2,219.348 ,14.657 ,132.216 
androguard,3.3.5,3.6.5,25.153 ,1.588 ,15.354 
cloud_volume,8.24.2,3.9.2,47.959 ,16.343 ,40.460 
pyupio,1.1.2,3.9.2,13.218 ,2.564 ,10.695 
ccxt_1_55_84,1.55.84,3.10.4,30.264 ,1.259 ,32.368 
robotframework_selenium2library,3.0.0,3.6.5,3.667 ,0.337 ,3.027 
alpaca_trade_api,3.0.2,3.8.2,20.081 ,1.828 ,20.624 
linkml,1.5.6,3.8.2,35.013 ,4.735 ,29.648 
eo_learn,1.4.2,3.9.2,145.371 ,12.056 ,144.731 
stac_fastapi.api,2.4.8,3.8.2,11.021 ,1.560 ,8.524 
pipenv_setup,3.2.0,3.7.2,21.810 ,4.095 ,11.981 
dbt_bigquery,1.5.3,3.8.2,34.743 ,11.886 ,30.667 
prefect,2.10.21,3.9.2,43.798 ,7.180 ,39.936 
navis,1.4.0,3.7.2,64.836 ,5.042 ,59.221 
connexion2,2.10.0,3.8.2,11.214 ,0.813 ,10.859 
submit50,3.1.1,3.10.4,9.438 ,0.388 ,10.065 
connexion2,2.10.0,3.6.5,12.490 ,0.858 ,10.067 
fairseq,0.12.2,3.6.5,99.734 ,0.603 ,69.816 
sphinx-js,3.1.2,3.9.2,19.914 ,0.927 ,16.010 
swaglyrics,1.2.2,3.6.5,9.786 ,0.437 ,11.679 
0x-contract-wrappers,2.0.0,3.9.2,27.746 ,1.333 ,29.402 
exhale,0.3.6,3.9.2,16.244 ,1.009 ,16.611 
exhale,0.3.6,3.7.2,16.578 ,1.050 ,15.789 
autogluon,0.6.0,3.9.2,314.401 ,6.773 ,218.531 
connexion2,2.10.0,3.9.2,11.347 ,0.830 ,11.083 
0x-contract-wrappers,2.0.0,3.10.4,25.555 ,1.533 ,43.754 
lcdp-connexion,2.9.4,3.8.2,10.993 ,0.973 ,10.914 
check50,3.3.7,3.9.2,10.784 ,0.455 ,13.015 
ccxt-1-55-84,1.55.84,3.9.2,12.849 ,0.531 ,25.316 
0x-order-utils,4.0.1,3.10.4,24.186 ,1.137 ,43.390 
