PkgName,PkgVer,PythonVer
auto_ml,2.9.10,3.6.5
gluoncv,0.10.5,3.6.5
cloud_volume,8.24.2,3.8.2
rio_tiler,5.0.2,3.9.2
botbuilder_integration_applicationinsights_aiohttp,4.14.4,3.7.2
pywb,2.7.4,3.9.2
mlflow_devlibx,1.22.8,3.7.2
pypulseq,1.4.0,3.9.2
alpaca_trade_api,3.0.2,3.7.2
pvrhinodemo,2.2.3,3.10.4
tfg_nightly,2023.1.11,3.7.2
adafruit_circuitpython_mcp230xx,2.5.11,3.6.5
wagtail_metadata,4.0.3,3.6.5
clip_retrieval,2.37.0,3.9.2
ai2thor,5.0.0,3.10.4
google_cloud_bigquery,3.11.3,3.8.2
apache_airflow_providers_microsoft_winrm,3.2.1,3.8.2
gefyra,1.1.2,3.8.2
neurokit2,0.2.5,3.6.5
stheno,1.4.1,3.6.5
indra,1.22.0,3.9.2
autofaiss,2.15.8,3.5.2
azure_mgmt_storagesync,1.0.0,3.5.2
pyneuroml,1.0.8,3.5.2
allensdk,2.15.1,3.5.2
ldsc,2.0.1,3.5.2
azure_cli_consumption,0.4.4,3.5.2
django_tables2,2.6.0,3.5.2
ccxt,4.0.27,3.5.2
azure_cli_sqlvm,0.2.0,3.5.2
spade,3.3.0,3.5.2
garmindb,3.3.0,3.5.2
fake_useragent,1.1.3,3.5.2
dagster_graphql,1.3.14,3.5.2
pomegranate,1.0.0,3.5.2
azure_cli_dla,0.2.6,3.5.2
azure_cli_rdbms,0.3.12,3.5.2
azure_cli_advisor,2.0.1,3.5.2
centrosome,1.2.1,3.5.2
sanic_cors,2.2.0,3.5.2
botframework_connector,4.14.4,3.5.2
celery_redbeat,2.1.1,3.5.2
odoo13_addon_base_exception,13.0.1.1.3,3.5.2
fast_bert,2.0.10,3.5.2
indic_nlp_library,0.81,3.5.2
autoviz,0.1.730,3.5.2
hydra_core,1.3.2,3.5.2
docker_compose,1.29.2,3.5.2
djangosaml2,1.7.0,3.5.2
vaex_core,4.17.0,3.5.2
mkdocs_autolinks_plugin,0.7.0,3.5.2
owlrl,6.0.2,3.5.2
azure_mgmt_billing,6.0.0,3.5.2
graphene,3.2.2,3.5.2
compas_fab,0.28.0,3.5.2
pymatgen_analysis_diffusion,2022.7.21,3.5.2
vector_quantize_pytorch,1.6.30,3.5.2
distfit,1.6.10,3.5.2
azure_mgmt_hybridnetwork,1.0.0,3.5.2
pytest_flake8,1.1.1,3.5.2
adafruit_circuitpython_ina219,3.4.22,3.5.2
azure_cli_dms,0.1.4,3.5.2
pytorch_metric_learning,2.2.0,3.5.2
argostranslate,1.8.0,3.5.2
azure_cli_hdinsight,0.3.5,3.5.2
brax,0.9.1,3.5.2
clip_retrieval,2.37.0,3.5.2
numpyro,0.12.1,3.5.2
ipycytoscape,1.3.3,3.5.2
yahoofinancials,1.12,3.5.2
bigdl_friesian_spark3,2.3.0,3.5.2
django_simple_captcha,0.5.18,3.5.2
vk_facenet,1.1.0,3.5.2
androguard,3.3.5,3.5.2
azure_cli_policyinsights,0.1.4,3.5.2
wikidataintegrator,0.9.30,3.5.2
xtgeo,3.1.2,3.5.2
nemo_toolkit,1.19.1,3.5.2
wenetruntime,1.10.0,3.5.2
azure_mgmt_managementgroups,1.0.0,3.5.2
uszipcode,1.0.1,3.5.2
undetected_chromedriver2,3.5.1,3.5.2
django_celery_email,3.0.0,3.5.2
jsx_lexer,2.0.1,3.5.2
spherical_geometry,1.2.23,3.5.2
types_tensorflow,2.12.0.5,3.5.2
django_cron,0.6.0,3.5.2
botbuilder_integration_applicationinsights_aiohttp,4.14.4,3.5.2
hydra_colorlog,1.2.0,3.5.2
azure_cli_sql,2.2.5,3.5.2
python_benedict,0.32.0,3.5.2
polyaxon,1.20.0,3.5.2
tencentcloud_sdk_python,3.0.936,3.5.2
jaxopt,0.5.5,3.5.2
n2v,0.3.2,3.5.2
wagtail_factories,4.1.0,3.5.2
grafana_backup,1.3.0,3.5.2
bigdl_dllib_spark2,2.3.0,3.5.2
azure_mgmt_azurearcdata,1.0.0,3.5.2
search_engine_parser,0.6.8,3.5.2
scann,1.2.9,3.5.2
guiqwt,4.4.0,3.5.2
ydb,3.3.6,3.5.2
dm_haiku,0.0.10,3.5.2
pygsheets,2.0.6,3.5.2
wagtail_cache,2.2.0,3.6.5
phenopackets,2.0.2,3.6.5
apache_airflow_providers_microsoft_azure,6.2.1,3.8.2
django_celery_results,2.5.1,3.5.2
twitchio,2.6.0,3.5.2
peppy,0.35.6,3.5.2
phenopackets,2.0.2,3.6.5
deepforest,1.2.7,3.5.2
fxcmpy,1.3.3,3.5.2
yolov5,7.0.12,3.10.4
apache_airflow_providers_microsoft_winrm,3.2.1,3.10.4
huaweicloudsdkiam,3.1.48,3.5.2
