,name,Dependts,Latest_time,Deps,Vers,Oldest_time,lifetime,Month
185,alipay-sdk-python,5,2023/1/15,2,41,2018/5/23,6,56.6
186,alive-progress,187,2023/1/2,2,33,2019/8/5,5,41.53333333
187,aliyun-log-python-sdk,12,2022/12/9,0,114,2017/10/25,6,62.36666667
188,aliyun-python-sdk-core,329,2022/2/7,0,89,2016/4/7,7,71.06666667
189,aliyun-python-sdk-core-v3,41,2022/2/7,0,45,2017/8/11,6,54.7
190,aliyundrive-webdav,0,2023/1/17,0,104,2021/8/20,3,17.16666667
191,aliyunpan,0,2022/8/26,0,33,2021/8/5,2,12.86666667
192,allennlp,71,2022/4/14,55,265,2017/9/1,6,56.2
193,allennlp-models,15,2022/10/19,8,99,2020/6/11,3,28.66666667
194,allensdk,18,2023/1/26,33,76,2016/2/12,8,84.66666667
195,allianceauth,61,2020/12/7,26,76,2018/3/4,3,33.63333333
196,allneo,0,2021/5/30,1,24,2021/5/30,1,0
197,allpairspy,13,2019/5/11,2,9,2017/1/21,3,28
198,allure-behave,8,2022/11/23,2,72,2017/6/27,6,65.83333333
199,allure-combine,6,2022/8/22,1,7,2022/6/19,1,2.133333333
200,allure-nose2,0,2022/11/23,2,27,2020/10/29,3,25.16666667
201,allure-pytest,114,2022/11/23,2,73,2017/6/27,6,65.83333333
202,allure-python-commons,44,2021/10/15,2,73,2017/6/27,5,52.36666667
203,alpaca-trade-api,34,2022/6/23,10,77,2018/5/4,5,50.36666667
204,alpha-vantage,19,2020/12/21,2,34,2017/5/21,4,43.66666667
205,alphalens,4,2020/4/27,0,9,2017/3/13,4,38.03333333
206,altair,372,2018/5/2,31,35,2016/7/11,3,22
207,alteryx-open-src-update-checker,6,2021/6/28,13,5,2021/6/2,1,0.866666667
208,altgraph,85,2022/9/25,0,20,2005/12/8,18,204.5
209,amazon-kclpy,5,2023/1/18,0,23,2014/10/22,10,100.3333333
210,amazon-textract-response-parser,8,2023/1/13,2,43,2021/4/13,3,21.33333333
211,amazon.ion,7,2022/8/19,0,14,2016/10/20,7,70.96666667
212,amcrest,2,2022/3/13,5,40,2016/11/24,7,64.5
213,amle-py,0,2020/4/6,0,23,2020/4/1,1,0.166666667
214,amqp,116,2022/4/17,1,72,2012/7/24,11,118.4666667
215,amqplib,12,2011/9/29,0,9,2007/12/5,5,46.46666667
216,AMQPStorm,18,2023/1/2,2,39,2016/4/6,8,82.06666667
217,amundsen-common,10,2022/4/27,15,71,2019/8/21,4,32.66666667
218,amundsen-databuilder,7,2022/7/6,133,172,2019/2/14,4,41.26666667
219,anago,1,2018/7/17,7,14,2017/8/31,2,10.66666667
220,analytics-python,47,2021/7/16,8,42,2013/1/10,9,103.6333333
221,andmath,0,2020/12/17,0,10,2020/12/16,1,0.033333333
222,andreani-aa-tools,1,2023/1/13,0,21,2022/9/14,2,4.033333333
223,androguard,17,2017/6/3,21,15,2015/8/1,3,22.4
